#List - Depth of Reading below Surface - Latest @ 2022-02-02 11:26 (UTC-07:00),,,,,,
Data Set Id,Location,Location Folder,Start of Record,End of Record,Value,Status
Well Depth.Well@18-83-17bcb,Anschutz-MPW,All Locations.Ground Water.Carbon County,1999-08-31 22:00:00,2004-08-06 19:00:00,-106.76472,-
Well Depth.Well@30-061-09bbb,Prairie Center #5,All Locations.Ground Water.Prairie Center Control Area,1981-05-01 19:00:00,2014-12-01 19:00:00,-104.20306,-
Well Depth.Well@36-62-28ab01,ETSI T-2 Madison,All Locations.Ground Water.Madison,2003-08-26 17:00:00,2017-06-05 20:56:21,-104.30775,-
Well Depth.Well@41-117-12dca,TCTB-9,All Locations.Ground Water.Teton County,1994-10-20 19:00:00,2004-11-17 19:00:00,-110.82944,-
Well Depth.Well@50-72-14cac,Heritage Village No. 1,All Locations.Ground Water.Gillette Area,1985-08-14 07:00:00,2013-11-07 17:30:00,-105.47944,-
Well Depth.Well@50-72-28ddb,G-MON-5 (Jail),All Locations.Ground Water.Gillette Area,1994-10-13 19:00:00,2018-10-22 20:00:00,-105.515,-
Well Depth.Well@42-116-19aaa,TCTD-3,All Locations.Ground Water.Teton County,1995-08-04 22:00:00,2004-06-09 20:00:00,-110.80333,-
Well Depth.Well@45-74-36dac,CBM-MON-6 (Murray),All Locations.Ground Water.Gillette Area,1998-12-15 23:00:00,2009-02-04 18:00:00,-105.68889,-
Well Depth.Well@49-74-36ddc01,CBM-MON-1 (Saunders),All Locations.Ground Water.Gillette Area,1998-12-15 19:00:00,2015-09-03 09:00:00,-105.695833,-
Well Depth.Well@49-74-36ddc03,CBM-MON-1G (Saunders),All Locations.Ground Water.Gillette Area,2001-11-28 22:00:00,2015-06-03 13:00:00,-105.68792,-
Well Depth.Well@53-60-16dba01,CCMOW-2 (Madison),All Locations.Ground Water.Madison,1991-06-28 07:00:00,2015-11-18 22:00:00,-104.05705,-
Well Depth.Well@53-65-18bbd,NPS Devils Tower,All Locations.Ground Water.Madison,2004-06-30 19:00:00,2013-06-20 20:20:00,-104.71628,-
Well Depth.Depth Below Surface(ft)@09205000,"New Fork River near Big Piney, WY",All Locations.Division 4.District 07,2015-05-19 02:15:00,2020-10-09 23:00:00,-109.92944,-
Well Depth.well@13-066-32bbd,Laramie County No. 14,All Locations.Ground Water.Laramie County,1986-04-01 19:00:00,2013-10-01 15:10:00,-104.80472,-
Well Depth.well@14-61-18ddd,Laramie County No. 2,All Locations.Ground Water.Laramie County,1978-04-04 19:00:00,2021-11-03 11:00:00,-104.23667,-
Well Depth.well@14-65-08bb,Laramie County No. 17,All Locations.Ground Water.Laramie County,2004-08-12 20:37:00,2021-11-04 10:00:00,-104.69217,-
Well Depth.WellDepth@16-60-32 dc 01,Fornstrom Fox Hills,All Locations.Ground Water.Laramie County,2015-09-28 21:00:00,2016-09-06 21:00:00,-104.10713,-
Well Depth.Well@16-61-10bdd,L.J. Anderson #3 Well,All Locations.Ground Water.Laramie County,1975-05-10 07:00:00,2004-03-09 07:00:00,-104.18778,-
Well Depth.well@20-61-15daa,Pump House #1,All Locations.Ground Water.Lagrange Area,1980-05-29 07:00:00,2013-11-14 07:00:00,-104.16897,-
Well Depth.Well@26-68-12cbd,Earl Rutherford,All Locations.Ground Water.Platte County,1980-09-17 19:00:00,2021-11-09 14:00:00,-104.96278,-
Well Depth.Well@41-117-12cdb,TCTB-4,All Locations.Ground Water.Teton County,1994-09-23 19:00:00,2004-06-10 15:10:00,-110.83722,-
Well Depth.Well@41-117-23cdd,TC-1,All Locations.Ground Water.Teton County,1997-09-18 19:00:00,2004-11-15 23:10:00,-110.8525,-
Well Depth.Well@48-61-36caa02,Weston County #1A,All Locations.Ground Water.Madison,1994-10-11 18:00:00,2016-06-14 19:00:00,-104.09506,-
Well Depth.Well@49-72-13bab,Crestview No. 1,All Locations.Ground Water.Gillette Area,1985-10-16 19:00:00,2013-11-05 19:00:00,-105.46361,-
Well Depth.Well@50-63-11cda,CCMOW-7 (Madison),All Locations.Ground Water.Madison,1994-10-11 23:00:00,2016-06-14 22:00:00,-104.38758,-
Well Depth.Well@50-66-32aaa,Moorcroft No. 1,All Locations.Ground Water.Madison,2002-04-03 20:10:00,2010-10-27 22:00:00,-104.80306,-
Well Depth.Well@51-63-4ada,VISTA WEST NO. 2,All Locations.Ground Water.Madison,1996-06-14 04:00:00,2019-05-23 19:00:00,-104.42001,-
Well Depth.well@14-067-27bac,Laramie County No. 13,All Locations.Ground Water.Laramie County,1986-04-01 19:00:00,2013-10-02 17:25:00,-104.87972,-
Well Depth.well@17-60-29dca,Trail Ridge No. 4,All Locations.Ground Water.Laramie County,1997-03-10 07:00:00,2004-03-09 07:00:00,-104.099,-
Well Depth.Well@41-117-11add,TCTB-6,All Locations.Ground Water.Teton County,1994-10-20 19:00:00,2004-11-17 17:10:00,-110.84361,-
Well Depth.Well@41-117-26cad,TC-3,All Locations.Ground Water.Teton County,1997-09-18 19:00:00,2004-11-16 01:10:00,-110.85222,-
Well Depth.Well@50-72-25aad,Sullivan No. 3,All Locations.Ground Water.Gillette Area,1985-08-14 07:00:00,2013-11-07 19:00:00,-105.45,-
Well Depth.well@14-067-36acb,Pioneer Park,All Locations.Ground Water.Laramie County,1989-08-11 19:00:00,2014-10-21 16:00:00,-104.83778,-
Well Depth.well@17-58-31dcc,Ponderosa/NE TA19,All Locations.Ground Water.Nebraska,1996-12-17 07:00:00,2010-10-06 07:00:00,-104.05196,-
Well Depth.well@17-60-30dad,Larson #2,All Locations.Ground Water.Laramie County,1997-03-10 15:00:00,2004-03-09 15:00:00,-104.112,-
Well Depth.Historical.Calculated@19-61-10aab,LaGrange No.1,All Locations.Ground Water.Lagrange Area,2014-11-05 21:00:00,2015-10-28 19:00:00,-104.17306,-
Well Depth.well@20-61-15-ada2,Northwell,All Locations.Ground Water.Lagrange Area,1980-05-29 07:00:00,2013-11-14 07:00:00,-104.17044,-
Well Depth.Historical.Calculated DTW@25-68-15bbd,Platte County #6,All Locations.Ground Water.Platte County,2015-04-01 20:00:00,2017-05-03 20:00:00,-105.00111,-
Well Depth.Well@27-69-25abc,Cottonwood Creek #1,All Locations.Ground Water.Platte County,1981-12-10 19:00:00,2021-05-05 12:00:00,-105.18361,-
Well Depth.Well@32-062-32bbb,Node well,All Locations.Ground Water.Prairie Center Control Area,1970-10-02 19:00:00,2016-06-13 23:08:00,-104.33919,-
Well Depth.Well@40-117-14cdc,TC-9,All Locations.Ground Water.Teton County,1997-09-18 19:00:00,2004-11-16 16:00:00,-110.84472,-
Well Depth.Well@41-117-12ccb,TCTB-5,All Locations.Ground Water.Teton County,1994-09-23 19:00:00,2004-11-16 14:10:00,-110.84139,-
Well Depth.Well@46-72-36aab,WCH-3A,All Locations.Ground Water.Gillette Area,1988-07-08 07:00:00,2000-09-11 07:13:00,-105.92889,-
Well Depth.Well@48-73-36bca03,CBM-MON-3G (Tripp),All Locations.Ground Water.Gillette Area,2001-11-29 19:00:00,2009-11-11 16:00:00,-105.582778,-
Well Depth.Well@49-62-36cbc01,CCMOW-6 (Madison),All Locations.Ground Water.Madison,1995-04-11 21:00:00,2016-06-14 19:00:00,-104.25319,-
Well Depth.Well@50-72-14dbd,H.V. Anderson No. 3,All Locations.Ground Water.Gillette Area,,,-105.47944,-
Well Depth.Well@50-72-24bcc,G-MON-2 (Warlow),All Locations.Ground Water.Gillette Area,1994-11-05 18:00:00,2018-10-22 21:00:00,-105.46917,-
Well Depth.Well@52-73-36ada02,RCH-2A,All Locations.Ground Water.Gillette Area,1988-07-08 07:00:00,2006-03-28 15:26:00,-105.57278,-
Well Depth.Well@57-65-15dac,U.S.G.S. M-1,All Locations.Ground Water.Madison,1982-06-07 19:00:00,2013-06-19 21:35:00,-104.64425,-
Well Depth.well@17-60-34cac,Marvin Anderson #2,All Locations.Ground Water.Laramie County,1997-03-11 15:00:00,2004-03-11 15:00:00,-104.068,-
Well Depth.well@17-62-17cc,Laramie Co. 6-B,All Locations.Ground Water.Laramie County,2006-08-03 07:00:00,2016-06-01 15:00:00,-104.34406,-
Well Depth.Well@25-68-01cda,Richard Johnson No.2 Well,All Locations.Ground Water.Platte County,1979-04-19 07:00:00,2004-03-11 19:00:00,-104.91778,-
Well Depth.Well@26-68-26dcc,Shepard No. 3 Well,All Locations.Ground Water.Platte County,1979-04-18 07:00:00,2004-03-11 19:00:00,-104.98333,-
Well Depth.Well@37-70-10cbb,Bill #6,All Locations.Ground Water.Gillette Area,1986-05-20 19:00:00,2017-11-06 15:00:00,-105.258611,-
Well Depth.Well@41-117-23cac,TCTA-2,All Locations.Ground Water.Teton County,1994-10-20 19:00:00,2004-11-15 16:10:00,-110.85694,-
Well Depth.Well@42-116-20bab,TCTD-2,All Locations.Ground Water.Teton County,1994-10-20 19:00:00,2004-11-16 21:10:00,-110.79667,-
Well Depth.Well@43-72-11aaa,CBM-MON-7W (Stuart),All Locations.Ground Water.Gillette Area,2000-09-28 20:00:00,2016-06-10 00:00:00,-105.47917,-
Well Depth.Well@46-66-25dbb,Terra Resources,All Locations.Ground Water.Madison,2004-06-29 19:00:00,2013-06-18 18:30:00,-104.725,-
Well Depth.Well@51-62-2dcb,CCMOW-3,All Locations.Ground Water.Madison,1991-11-01 23:00:00,2012-10-04 21:00:00,-104.26417000000001,-
Well Depth.Well@51-72-17cca,Prospector Village No. 1,All Locations.Ground Water.Gillette Area,1985-09-24 07:00:00,2013-11-05 19:00:00,-105.54278,-
Well Depth.well12@Test,Test,All Locations.Ground Water.Test,,,0,-
Well Depth.well@16-61-01cca,Ada Lerwick No. 1 Well,All Locations.Ground Water.Laramie County,1971-05-10 07:00:00,2004-03-09 07:00:00,-104.15194,-
Well Depth.well@20-60-30bbb,LaGrange No. 2,All Locations.Ground Water.Lagrange Area,1980-09-24 07:00:00,2021-11-22 09:00:00,-104.12917,-
Well Depth.well@20-61-25dcc,North Field Well,All Locations.Ground Water.Lagrange Area,1980-04-30 07:00:00,2013-11-14 07:00:00,-104.13875,-
Well Depth.Well@25-68-12dda,Platte County #4,All Locations.Ground Water.Platte County,1980-09-17 19:00:00,2021-05-05 11:00:00,-104.94722,-
Well Depth.Well@26-68-26acd,Juschka No. 1 Well,All Locations.Ground Water.Platte County,1979-04-18 07:00:00,2004-03-11 19:00:00,-104.97917,-
Well Depth.Well@42-116-21bba,TCTD-7,All Locations.Ground Water.Teton County,1996-12-04 19:00:00,2004-06-09 21:10:00,-110.77778,-
Well Depth.Well@52-73-25bcb,Pine Buttes No. 1,All Locations.Ground Water.Gillette Area,1995-04-27 22:00:00,2017-03-22 23:00:00,-105.590833,-
Well Depth.Well21@Test,Test,All Locations.Ground Water.Test,1983-11-15 19:00:00,2011-05-13 06:00:00,0,-
Well Depth.Depth to Water@15-66-10bab,Laramie Co. No. 7,All Locations.Ground Water.Laramie County,1977-12-16 19:00:00,2021-11-03 15:00:00,-104.76278,-
Well Depth.well@17-62-17ccc,Laramie County 6A,All Locations.Ground Water.Laramie County,1982-09-02 19:00:00,2006-06-09 19:00:00,-104.34167,-
Well Depth.well@20-61-14ccb,StockTank,All Locations.Ground Water.Lagrange Area,1980-05-29 07:00:00,2013-11-14 07:00:00,-104.16699,-
Well Depth.well@20-61-24cdd,F. Sanders,All Locations.Ground Water.Lagrange Area,1977-08-04 07:00:00,2013-11-14 07:00:00,-104.14062,-
Well Depth.Well@26-68-36cbc,Joe P Johnson No. 1 Stk,All Locations.Ground Water.Platte County,1992-04-07 07:00:00,2004-03-11 19:00:00,-104.97917,-
Well Depth.Well@36-062-28ab02,ETSI 0-2 LAKOTA,All Locations.Ground Water.Madison,,,-104.30889,-
Well Depth.Well@40-117-3dcc,TC-7,All Locations.Ground Water.Teton County,1997-09-19 01:00:00,2004-11-16 02:00:00,-110.85944,-
Well Depth.Well@41-117-26ccd,TC-5,All Locations.Ground Water.Teton County,1997-09-19 00:00:00,2004-11-16 02:10:00,-110.85611,-
Well Depth.Well@49-73-26abc,G-MON-8 (Bell Road),All Locations.Ground Water.Gillette Area,1994-11-05 00:00:00,2019-05-22 22:00:00,-105.60111,-
Well Depth.Well@50-72-11cba,G-MON-7 (Maki),All Locations.Ground Water.Gillette Area,1994-11-05 01:00:00,2003-12-16 07:17:00,-105.48722,-
Well Depth.Well@52-73-36ada03,RCH-2B,All Locations.Ground Water.Gillette Area,1988-07-08 07:00:00,2013-11-06 17:20:00,-105.57278,-
Well Depth.well@14-066-28adb,Cheyenne Ogallala,All Locations.Ground Water.Laramie County,1998-10-08 19:00:00,2004-04-27 19:00:00,-104.77333,-
Well Depth.well@14-067-12abb,Laramie County No. 10,All Locations.Ground Water.Laramie County,1984-08-02 19:00:00,2021-11-04 08:00:00,-104.83722,-
Well Depth.well@17-60-19caa,Peterson Irr #2,All Locations.Ground Water.Laramie County,1997-03-10 15:00:00,2004-03-09 15:00:00,-104.1224946,-
Well Depth.well@17-62-19ac,Deselms #4,All Locations.Ground Water.Laramie County,2002-05-03 15:00:00,2004-03-11 15:00:00,-104.351,-
Well Depth.Historical.Calculated DTW@25-067-19dda,Ed Wilhelm,All Locations.Ground Water.Platte County,2015-04-01 18:00:00,2016-12-20 20:00:00,-104.9275,-
Well Depth.Well@41-117-35dcb,TC-12,All Locations.Ground Water.Teton County,1997-09-19 03:00:00,2004-11-16 18:10:00,-110.85,-
Well Depth.Well@47-73-16cba02,CBM-MON-4W (Davis),All Locations.Ground Water.Gillette Area,1998-12-13 20:00:00,2017-03-23 22:00:00,-105.64478,-
Well Depth.Well@47-73-16cba03,CBM-MON-4G (Davis),All Locations.Ground Water.Gillette Area,2001-11-29 18:00:00,2016-06-06 21:00:00,-105.64997,-
Well Depth.Well@49-73-03cbd01,CBM-MON-2 (Bennor),All Locations.Ground Water.Gillette Area,1998-12-16 16:00:00,2016-06-09 18:00:00,-105.62717,-
Well Depth.Well@51-72-20abd,Rawhide Village No. 2,All Locations.Ground Water.Gillette Area,1994-03-23 00:00:00,2016-06-08 14:00:00,-105.53333,-
Well Depth.Well4@Test,Test,All Locations.Ground Water.Test,1983-11-15 19:00:00,2007-12-30 09:00:00,0,-
Well Depth.SW Albin.csv depth below LSD@16-60-7bbb2,USGS SW Albin,All Locations.Ground Water.Laramie County,1983-05-06 07:00:00,2021-11-03 14:00:00,-104.13722,-
Well Depth.well@17-60-33bcc,Malm 33-2,All Locations.Ground Water.Laramie County,1998-03-27 15:00:00,2004-03-11 15:00:00,-104.091,-
Well Depth.Well@24-67-23 NWNW,Code #29,All Locations.Ground Water.Platte County,,,-104.86417,-
Well Depth.Well@41-117-24cca,TC-11,All Locations.Ground Water.Teton County,1997-09-19 03:00:00,2004-11-16 17:00:00,-110.83722,-
Well Depth.Well@45-74-36dac02,CBM-MON-6G (Murray),All Locations.Ground Water.Gillette Area,2001-11-29 17:00:00,2015-06-04 18:00:00,-105.68889,-
Well Depth.Well@Test,Test,All Locations.Ground Water.Test,1983-11-15 19:00:00,1984-06-20 19:00:00,0,-
Well Depth.Well9@Test,Test,All Locations.Ground Water.Test,1983-11-15 19:00:00,2011-05-14 18:00:00,0,-
Well Depth.well@16-61-10dbd,L.J. Andrson #2 Well,All Locations.Ground Water.Laramie County,1990-05-01 07:00:00,2004-03-09 07:00:00,-104.18583,-
Well Depth.Well@24-68-10aaa,Platte County #7B,All Locations.Ground Water.Platte County,1991-03-26 02:00:00,2018-05-03 16:00:00,-104.98306,-
Well Depth.Well@25-67-34ccd,Platte County #2,All Locations.Ground Water.Platte County,1980-09-16 19:00:00,2015-06-02 18:00:00,-104.88389,-
Well Depth.Well@49-73-03cbd02,CBM-MON-2W (Bennor),All Locations.Ground Water.Gillette Area,1999-02-18 18:00:00,2017-03-23 15:00:00,-105.62728,-
Well Depth.Well@50-73-28cac,Jim Kintz Well,All Locations.Ground Water.Gillette Area,1993-04-27 18:00:00,2013-11-07 17:15:00,-105.64417,-
Well Depth.Well@53-61-32ddd02,CCMOW-5 (Madison),All Locations.Ground Water.Madison,1991-11-01 19:00:00,2019-10-30 23:00:00,-104.19469,-
Well Depth.well6@Test,Test,All Locations.Ground Water.Test,1983-11-15 19:00:00,2011-04-11 10:00:00,0,-
Well Depth.well@14-68-35ddc,King #3,All Locations.Ground Water.Laramie County,1969-08-07 07:00:00,2004-04-07 07:00:00,-104.97306,-
Well Depth.well@17-60-28ccc01,Holgerson No. 1,All Locations.Ground Water.Laramie County,1997-03-10 15:00:00,2004-03-11 15:00:00,-104.09,-
Well Depth.well@20-60-11cdd2,66Mountain well,All Locations.Ground Water.Lagrange Area,1980-05-29 07:00:00,2013-11-14 07:00:00,-104.16117,-
Well Depth.Well@24-67-21aab,Ed Preuit,All Locations.Ground Water.Platte County,1979-06-28 19:00:00,2019-05-31 16:00:00,-104.88917000000001,-
Well Depth.Well@24-68-22aab,Platte County #1A,All Locations.Ground Water.Platte County,1988-04-28 19:00:00,2020-11-05 15:00:00,-104.98417,-
Well Depth.Well@25-68-02dac,Alice Duncan Jones #2,All Locations.Ground Water.Platte County,1979-04-18 07:00:00,2004-03-11 19:00:00,-104.97528,-
Well Depth.Well@26-68-23cac,Shepard No. 2 Well,All Locations.Ground Water.Platte County,1979-04-18 07:00:00,2004-03-11 19:00:00,-104.97944,-
Well Depth.Well@28-87-16cca01,Split Rock #2,All Locations.Ground Water.Carbon County,1981-10-26 19:00:00,2013-11-25 20:41:00,-107.24722,-
Well Depth.Well@29-061-23abb,Goshen County No. 1,All Locations.Ground Water.Prairie Center Control Area,1979-05-03 19:00:00,2014-12-01 18:00:00,-104.151267,-
Well Depth.Well@41-117-23adc,TCTA-7,All Locations.Ground Water.Teton County,1994-09-23 19:00:00,2004-11-16 15:10:00,-110.84639,-
Well Depth.Calculated DTW@24-68-32ddc,Platte County #9,All Locations.Ground Water.Platte County,2015-04-01 22:00:00,2016-12-20 16:00:00,-105.02667,-
Well Depth.Calculated DTW@25-067-19dda,Ed Wilhelm,All Locations.Ground Water.Platte County,2015-04-01 18:00:00,2016-12-20 20:00:00,-104.9275,-
Well Depth.well@14-66-34acb,Fire Station No. 3,All Locations.Ground Water.Laramie County,1999-04-19 22:00:00,2015-06-11 04:00:00,-104.75833,-
Well Depth.well@16-63-15aaa,Laramie County #3,All Locations.Ground Water.Laramie County,1978-05-25 19:00:00,2013-10-01 21:05:00,-104.40694,-
Well Depth.well@20-61-10ddd,Windmill Well,All Locations.Ground Water.Lagrange Area,1980-05-29 07:00:00,2007-05-02 07:00:00,-104.17017,-
Well Depth.Well@40-117-10cab,TC-8,All Locations.Ground Water.Teton County,1997-09-18 19:00:00,2004-06-08 20:00:00,-110.85944,-
Well Depth.Well@41-117-12dda,TCTB-1,All Locations.Ground Water.Teton County,1994-09-23 19:00:00,2004-11-17 17:10:00,-110.82444,-
Well Depth.Well@42-116-31cbb,TCTC-3,All Locations.Ground Water.Teton County,1994-09-23 19:00:00,2003-11-20 19:00:00,-110.82056,-
Well Depth.Well@46-74-12ccc03,CBM-MON-5G (Barrett),All Locations.Ground Water.Gillette Area,2001-11-29 17:00:00,2016-06-09 02:00:00,-105.7075,-
Well Depth.Well@50-62-16ccb,CCMOW-8,All Locations.Ground Water.Madison,1994-09-01 07:00:00,2016-06-14 20:00:00,-104.31425,-
Well Depth.well@16-61-02dcc,Claytor No. 1 Well,All Locations.Ground Water.Laramie County,1990-03-28 19:00:00,2004-03-09 15:00:00,-104.14611,-
Well Depth.Well@29-61-26cbb01,Prairie Center #3,All Locations.Ground Water.Prairie Center Control Area,2003-06-09 19:16:00,2014-12-01 18:00:00,-104.163805,-
Well Depth.Well@41-117-23cbc,TCTA-3,All Locations.Ground Water.Teton County,1994-10-20 19:00:00,2004-11-15 16:10:00,-110.86194,-
Well Depth.Well@42-116-20aab,TCTD-1,All Locations.Ground Water.Teton County,1994-09-23 19:00:00,2004-11-16 22:10:00,-110.78639,-
Well Depth.Well@42-116-29dbc,TCTC-7,All Locations.Ground Water.Teton County,1996-09-05 18:00:00,2004-06-09 19:10:00,-110.78861,-
Well Depth.Well@50-072-21aba0,Gillette H-13,All Locations.Ground Water.Gillette Area,1983-06-12 19:00:00,2006-12-12 18:11:00,-105.51583,-
Well Depth.Depth Below Surface(ft)@09209400,"Green River near La Barge, WY",All Locations.Division 4.District 05,2015-05-18 20:15:00,2020-07-29 18:00:00,-110.1618283,-
Well Depth.well@16-60-3bac,Section 3-1,All Locations.Ground Water.Laramie County,1997-03-10 15:00:00,2004-03-11 15:00:00,-104.072,-
Well Depth.well@16-61-03dc,Lundberg No. 1,All Locations.Ground Water.Laramie County,2003-12-04 18:00:00,2004-03-09 16:00:00,-104.181,-
Well Depth.well@17-60-29caa,Town of Albin #4,All Locations.Ground Water.Laramie County,1997-03-10 15:00:00,2004-03-09 15:00:00,-104.102,-
Well Depth.well@20-61-23bbc2,NW of Rain Station,All Locations.Ground Water.Lagrange Area,1980-05-29 07:00:00,2013-11-14 07:00:00,-104.16709,-
Well Depth.Well@25-68-15bbd,Platte County #6,All Locations.Ground Water.Platte County,1980-09-18 19:00:00,2021-11-08 13:00:00,-105.00111,-
Well Depth.Well@32-62-5baa01,Niobrara Co. No. 1,All Locations.Ground Water.Prairie Center Control Area,1979-06-01 19:00:00,2016-06-13 22:00:00,-104.32864,-
Well Depth.Well@50-72-25acb,CAMPLEX #1,All Locations.Ground Water.Gillette Area,1993-06-19 21:00:00,2017-11-09 05:00:00,-105.457778,-
Well Depth.Well@52-63-25dcd,Cole3A,All Locations.Ground Water.Madison,2004-06-30 19:00:00,2007-11-27 08:28:00,-104.36278,-
Well Depth.Well@52-73-36ada01,RCH-2,All Locations.Ground Water.Gillette Area,1988-07-08 07:00:00,1997-07-08 07:00:00,-105.57278,-
Well Depth.Well10@Test,Test,All Locations.Ground Water.Test,1983-11-15 19:00:00,2011-05-15 06:00:00,0,-
Well Depth.Depth to Water@16-61-26 CD-03,Scheel WSW No. 1 White River,All Locations.Ground Water.Laramie County,2016-10-03 22:33:00,2016-10-17 19:06:00,-104.16969,-
Well Depth.well@17-60-34daa,Section 3-1 (relocated),All Locations.Ground Water.Laramie County,1996-12-17 15:00:00,2004-03-11 15:00:00,-104.054,-
Well Depth.well@20-61-15ada,Southwell,All Locations.Ground Water.Lagrange Area,1985-02-12 07:00:00,2013-11-14 07:00:00,-104.17044,-
Well Depth.Well@28-61-aba01,Goshen County #2,All Locations.Ground Water.Prairie Center Control Area,1979-05-03 19:00:00,2015-11-16 19:00:00,-104.22938,-
Well Depth.Well@41-116-7ccb,TCTB-12,All Locations.Ground Water.Teton County,1996-12-03 19:00:00,2004-06-09 17:10:00,-110.82028,-
Well Depth.Well@42-116-32cbc,TCTC-1,All Locations.Ground Water.Teton County,1994-09-23 19:00:00,2004-11-16 23:10:00,-110.8025,-
Well Depth.Well@50-72-16bbb,G-MON-1 (Sports Bar),All Locations.Ground Water.Gillette Area,1994-10-13 21:00:00,2017-11-06 20:00:00,-105.52972,-
Well Depth.well@12-60-07ddd,Laramie County No. 1,All Locations.Ground Water.Laramie County,1978-04-06 19:00:00,2017-11-16 16:00:00,-104.124166666667,-
Well Depth.well@17-61-26aac,Peterson Irr. No. 3 Well,All Locations.Ground Water.Laramie County,1990-03-28 07:00:00,2004-03-09 21:00:00,-104.15513,-
Well Depth.Well@18-83-21daa,Ravenscroft #2,All Locations.Ground Water.Carbon County,1999-05-04 19:00:00,2004-08-06 21:00:00,-106.72111,-
Well Depth.Well@28-61-02ccd01,Prairie Center #6,All Locations.Ground Water.Prairie Center Control Area,1986-04-11 07:00:00,2016-06-13 19:00:00,-104.163009,-
Well Depth.Well@40-117-13ccc,TC-14,All Locations.Ground Water.Teton County,1997-09-19 05:00:00,2004-11-16 19:10:00,-110.83,-
Well Depth.Well@41-117-14add,TCTB-11,All Locations.Ground Water.Teton County,1994-10-20 19:00:00,2004-11-16 14:10:00,-110.8425,-
Well Depth.Well@41-117-35ccd,TC-6,All Locations.Ground Water.Teton County,1997-09-19 02:00:00,2004-11-16 02:10:00,-110.85722,-
Well Depth.well@14-66-02dc,Laramie County No. 16,All Locations.Ground Water.Laramie County,2004-08-10 23:01:00,2021-11-04 09:00:00,-104.73983,-
Well Depth.well@16-61-09bdb,Anderson No. 1 Well,All Locations.Ground Water.Laramie County,1990-04-04 07:00:00,2004-03-09 07:00:00,-104.20889,-
Well Depth.Well@26-68-36bbb,Platte County #5,All Locations.Ground Water.Platte County,1981-04-21 19:00:00,2021-11-08 12:00:00,-104.96611,-
Well Depth.Well@29-061-17aad,Prairie Center #4,All Locations.Ground Water.Prairie Center Control Area,1980-09-20 07:00:00,2016-06-13 20:00:00,-104.20325,-
Well Depth.Well@40-117-3cca,TC-13,All Locations.Ground Water.Teton County,1997-09-19 04:00:00,2004-11-16 17:00:00,-110.8525,-
Well Depth.Well@41-117-22dbd,TCTA-4,All Locations.Ground Water.Teton County,1994-09-23 19:00:00,2004-06-10 15:00:00,-110.86917,-
Well Depth.Level Depth to Water (ft)@13-65-10 ab 01,Shatto Fox Hills,All Locations.Ground Water.Laramie County,2015-01-09 22:00:00,2016-09-27 20:00:00,-104.64647,-
